run,variant,best_value,nodes,elapsed,max_depth,avg_depth,optimal
0,base,2.13163e-14,100000,0.202874,99999,49999.5,0
1,base,2.13163e-14,100000,0.203687,99999,49999.5,0
2,base,2.13163e-14,100000,0.207387,99999,49999.5,0
3,base,2.13163e-14,100000,0.206886,99999,49999.5,0
4,base,2.13163e-14,100000,0.207868,99999,49999.5,0
5,base,2.13163e-14,100000,0.203066,99999,49999.5,0
6,base,2.13163e-14,100000,0.202332,99999,49999.5,0
7,base,2.13163e-14,100000,0.201167,99999,49999.5,0
8,base,2.13163e-14,100000,0.201234,99999,49999.5,0
9,base,2.13163e-14,100000,0.201102,99999,49999.5,0
0,depth_k,2.13163e-14,22,5.87801e-05,21,10.5,1
1,depth_k,2.13163e-14,22,4.72101e-05,21,10.5,1
2,depth_k,2.13163e-14,22,4.71701e-05,21,10.5,1
3,depth_k,2.13163e-14,22,4.69391e-05,21,10.5,1
4,depth_k,2.13163e-14,22,4.70901e-05,21,10.5,1
5,depth_k,2.13163e-14,22,4.72001e-05,21,10.5,1
6,depth_k,2.13163e-14,22,4.70601e-05,21,10.5,1
7,depth_k,2.13163e-14,22,4.71101e-05,21,10.5,1
8,depth_k,2.13163e-14,22,4.70501e-05,21,10.5,1
9,depth_k,2.13163e-14,22,4.71191e-05,21,10.5,1
0,depth_k_rand,2.13163e-14,22,8.12901e-05,21,10.5,1
1,depth_k_rand,2.13163e-14,22,6.85691e-05,21,10.5,1
2,depth_k_rand,2.13163e-14,22,6.78801e-05,21,10.5,1
3,depth_k_rand,2.13163e-14,22,6.80901e-05,21,10.5,1
4,depth_k_rand,2.13163e-14,22,6.79201e-05,21,10.5,1
5,depth_k_rand,2.13163e-14,22,6.76501e-05,21,10.5,1
6,depth_k_rand,2.13163e-14,22,6.59091e-05,21,10.5,1
7,depth_k_rand,2.13163e-14,22,5.47001e-05,21,10.5,1
8,depth_k_rand,2.13163e-14,22,5.44601e-05,21,10.5,1
9,depth_k_rand,2.13163e-14,22,5.44201e-05,21,10.5,1
0,vol_k,2.13163e-14,22,6.38791e-05,21,10.5,1
1,vol_k,2.13163e-14,22,5.12501e-05,21,10.5,1
2,vol_k,2.13163e-14,22,5.09801e-05,21,10.5,1
3,vol_k,2.13163e-14,22,5.07301e-05,21,10.5,1
4,vol_k,2.13163e-14,22,5.03901e-05,21,10.5,1
5,vol_k,2.13163e-14,22,5.10301e-05,21,10.5,1
6,vol_k,2.13163e-14,22,5.09491e-05,21,10.5,1
7,vol_k,2.13163e-14,22,5.09401e-05,21,10.5,1
8,vol_k,2.13163e-14,22,5.46401e-05,21,10.5,1
9,vol_k,2.13163e-14,22,4.92401e-05,21,10.5,1
0,vol_k_rand,2.13163e-14,22,8.47701e-05,21,10.5,1
1,vol_k_rand,2.13163e-14,22,6.98601e-05,21,10.5,1
2,vol_k_rand,2.13163e-14,22,6.91691e-05,21,10.5,1
3,vol_k_rand,2.13163e-14,22,6.92601e-05,21,10.5,1
4,vol_k_rand,2.13163e-14,22,6.31401e-05,21,10.5,1
5,vol_k_rand,2.13163e-14,22,5.52401e-05,21,10.5,1
6,vol_k_rand,2.13163e-14,22,5.53401e-05,21,10.5,1
7,vol_k_rand,2.13163e-14,22,5.55891e-05,21,10.5,1
8,vol_k_rand,2.13163e-14,22,6.27501e-05,21,10.5,1
9,vol_k_rand,2.13163e-14,22,5.56001e-05,21,10.5,1
